SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2010
10,0,0,42,Europe,492453977
10,1,0,42,Albania,3416945
20,1,0,40,Austria,7755406
20,1,0,36,Belgium,10032460
20,1,0,35,Bosnia and Herzegovina,2656240
20,1,0,33,Bulgaria,8943258
40,1,6,1,Denmark,4667750
40,1,9,2,Ireland,5015975
40,1,8,4,Estonia,1590808
40,1,7,5,Czech Republic,10321120
40,1,9,6,France,57757060
40,1,8,8,Germany,81436300
40,1,1,9,Greece,10307460
40,1,5,10,Croatia,5004112
40,1,5,11,Hungary,10310410
40,1,5,12,Iceland,267240
40,1,5,13,Italy,57908880
40,1,9,15,Latvia,2690291
40,1,8,16,Lithuania,3786560
40,1,3,17,Slovakia,5374362
40,1,3,18,Liechtenstein,29342
40,1,4,19,Luxembourg,387064
40,1,4,20,Moldova,4473570
40,1,6,21,Macedonia,2104035
40,1,7,22,Monaco,27409
40,1,1,23,Netherlands,15447470
40,1,5,24,Poland,37911870
40,1,1,25,Portugal,9625516
40,1,3,26,Romania,23540550
40,1,4,27,Slovenia,1951443
40,1,6,28,Spain,39267780
40,1,4,29,Sweden,8728217
40,1,8,30,Switzerland,6713839
40,1,8,31,United Kingdom,56420180
